17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,18,21,26,29,29,17
17,7,17,17,26,17,17,17,17,17,17,17,23,23,17,22,17,17,17,17,6,17,19,24,18,18,20,17,24,17
17,17,17,17,23,18,17,17,27,17,20,17,17,24,17,17,17,26,17,17,17,18,22,26,29,19,17,17,17,18
17,17,23,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,26,19,21,25,17,3,17,26,24,17,17
17,17,17,24,17,17,17,17,17,17,17,17,25,17,17,17,22,17,24,18,26,23,19,17,17,17,17,20,17,17
17,17,17,17,17,17,17,21,17,17,17,17,17,17,17,25,17,18,18,19,17,17,17,19,17,17,17,17,17,17
17,17,20,17,17,17,17,17,17,24,17,19,17,17,17,21,19,19,18,22,17,17,17,17,23,17,17,17,17,27
17,17,17,17,19,17,17,17,17,17,17,17,17,27,17,23,29,26,17,25,17,21,24,17,17,17,17,17,17,17
17,17,17,17,17,17,17,17,25,17,19,17,22,17,18,23,17,27,18,17,17,17,17,17,17,17,17,17,7,17
17,18,17,17,17,17,17,17,17,17,17,17,26,24,19,26,17,17,17,17,17,17,17,17,26,17,17,17,17,17
17,17,17,17,17,3,17,17,17,17,22,19,18,26,23,17,17,19,17,24,17,17,17,17,17,17,17,17,19,17
17,17,17,17,23,17,17,17,22,17,19,20,19,19,17,27,17,17,17,17,17,17,17,17,17,17,17,17,17,17
17,17,17,17,17,19,17,19,17,23,21,27,17,17,17,17,17,20,17,17,17,17,20,17,17,17,17,17,17,17
23,17,17,26,17,17,19,25,19,20,24,17,17,18,17,17,26,17,17,23,17,17,17,17,17,17,26,17,17,17
17,17,17,17,17,27,22,18,17,25,27,17,17,17,17,19,17,17,17,17,17,17,17,17,17,17,17,17,17,17
17,17,22,17,19,20,19,26,21,17,17,17,24,17,17,17,17,17,27,17,17,17,17,19,17,17,17,17,17,17
17,17,6,25,24,23,26,17,17,24,17,17,17,17,23,17,17,17,17,17,17,3,17,17,17,21,17,17,17,17
17,17,21,27,20,17,26,17,17,17,17,17,17,17,17,17,17,25,17,17,17,17,17,17,17,17,17,17,18,17
24,23,19,17,19,17,17,19,17,17,17,17,7,17,17,17,17,17,17,17,17,17,17,17,17,17,24,17,17,17
20,25,23,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,17,17,17,17,19,17
