17,26,17,17,17,17,3,17,17,17,17,28,17,17,17,25,17,17,17,17,26,17,17,17,17,4,17,17,17,17
20,17,27,17,17,5,17,17,17,24,17,17,17,21,17,17,17,17,27,17,17,17,20,17,17,17,5,17,26,17
18,17,17,17,7,17,17,23,18,17,27,17,17,17,4,17,17,29,17,17,23,17,17,17,21,17,17,3,17,17
17,14,15,16,17,17,17,17,17,17,17,17,3,14,15,15,15,16,17,17,17,17,28,17,17,25,17,17,6,17
17,12,10,11,16,18,25,17,26,17,17,14,15,10,10,10,11,10,15,16,17,17,17,17,17,17,24,17,17,17
14,10,9,10,13,17,21,17,24,17,14,11,9,10,8,10,8,10,10,10,15,16,17,17,26,17,17,17,17,17
12,10,10,8,10,16,17,28,17,17,12,10,10,10,10,9,10,11,10,8,10,10,16,17,17,17,27,17,24,17
12,11,10,10,11,10,16,27,29,17,0,10,8,11,8,10,10,10,9,10,11,10,10,16,17,17,17,17,17,17
12,9,10,9,10,10,10,16,17,14,16,0,10,10,10,10,11,10,10,10,8,10,1,2,3,17,17,28,17,17
12,10,11,10,10,8,9,10,16,0,11,16,0,1,10,8,10,8,10,10,11,10,15,16,17,17,27,17,5,17
0,8,10,9,11,10,10,10,13,5,12,10,15,15,10,11,10,10,8,9,10,10,10,2,17,17,17,17,4,3
14,10,10,10,10,1,10,10,13,14,10,9,10,11,10,9,9,10,10,10,10,1,2,14,16,3,17,17,17,17
12,11,9,10,13,14,9,10,13,0,1,10,10,10,8,10,10,11,8,1,2,14,15,10,8,15,15,16,17,27
12,10,10,8,2,12,10,11,10,16,3,0,1,1,10,9,10,1,2,5,14,10,9,11,9,10,10,11,16,18
0,10,8,13,14,8,8,9,10,13,25,17,17,3,0,1,2,5,17,24,12,11,8,10,10,8,9,10,13,17
3,12,11,10,10,10,10,10,10,13,17,23,20,17,4,17,17,17,3,14,8,10,10,10,1,1,11,8,13,17
17,0,10,9,10,8,10,8,10,2,17,24,17,3,17,18,27,25,17,0,10,9,11,10,16,14,10,10,13,17
17,27,0,10,10,11,9,10,2,17,27,17,26,17,17,17,17,17,17,18,12,11,1,8,11,9,8,10,2,17
17,17,3,0,1,1,1,2,17,17,21,17,17,17,20,17,3,17,17,17,0,2,18,0,1,1,1,2,3,17
26,17,17,17,17,24,17,17,27,17,17,17,5,17,17,24,17,17,21,17,17,17,25,17,17,17,17,17,17,27
